Name,Accounts,Amount,Analytics,Category,Created time,Date,Duplicate x5 from here,Exclude Value,Expense Value,Last edited time,Record Value,Schedule Value,Transaction Status,Type
"Assurance Vandeborre ",Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€15.00,Include In Analytics,Subscriptions (https://www.notion.so/Subscriptions-2474bf6b83b38066a512d2e2e51b6ba0?pvs=21),"September 19, 2025 12:41 PM","December 5, 2025 0:00 (GMT+1)",,,,"September 19, 2025 12:41 PM",,-€15.00,🗓️ Scheduled,Every 1 Month
"Assurance Vandeborre ",Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€15.00,Include In Analytics,Subscriptions (https://www.notion.so/Subscriptions-2474bf6b83b38066a512d2e2e51b6ba0?pvs=21),"September 19, 2025 12:41 PM","January 5, 2026 0:00 (GMT+1)",,,,"September 19, 2025 12:41 PM",,-€15.00,🗓️ Scheduled,Every 1 Month
"Assurance Vandeborre ",Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€15.00,Include In Analytics,Subscriptions (https://www.notion.so/Subscriptions-2474bf6b83b38066a512d2e2e51b6ba0?pvs=21),"September 19, 2025 12:41 PM","February 5, 2026 0:00 (GMT+1)",,,,"September 19, 2025 12:41 PM",,-€15.00,🗓️ Scheduled,Every 1 Month
Mobile & Internet,Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€78.00,Include In Analytics,Subscriptions (https://www.notion.so/Subscriptions-2474bf6b83b38066a512d2e2e51b6ba0?pvs=21),"September 19, 2025 12:41 PM","September 26, 2025 12:41 (GMT+2)",,,,"September 19, 2025 1:19 PM",,-€78.00,🗓️ Scheduled,Every 1 Month
"Mobile & Internet ",Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€78.00,Include In Analytics,Subscriptions (https://www.notion.so/Subscriptions-2474bf6b83b38066a512d2e2e51b6ba0?pvs=21),"September 19, 2025 12:42 PM","October 19, 2025 12:41 (GMT+2)",,,,"September 19, 2025 12:42 PM",,-€78.00,🗓️ Scheduled,Every 1 Month
"Mobile & Internet ",Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€78.00,Include In Analytics,Subscriptions (https://www.notion.so/Subscriptions-2474bf6b83b38066a512d2e2e51b6ba0?pvs=21),"September 19, 2025 12:42 PM","November 19, 2025 12:41 (GMT+1)",,,,"September 19, 2025 12:42 PM",,-€78.00,🗓️ Scheduled,Every 1 Month
"Mobile & Internet ",Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€78.00,Include In Analytics,Subscriptions (https://www.notion.so/Subscriptions-2474bf6b83b38066a512d2e2e51b6ba0?pvs=21),"September 19, 2025 12:42 PM","December 19, 2025 12:41 (GMT+1)",,,,"September 19, 2025 12:42 PM",,-€78.00,🗓️ Scheduled,Every 1 Month
"Mobile & Internet ",Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€78.00,Include In Analytics,Subscriptions (https://www.notion.so/Subscriptions-2474bf6b83b38066a512d2e2e51b6ba0?pvs=21),"September 19, 2025 12:42 PM","January 19, 2026 12:41 (GMT+1)",,,,"September 19, 2025 12:42 PM",,-€78.00,🗓️ Scheduled,Every 1 Month
"Mobile & Internet ",Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€78.00,Include In Analytics,Subscriptions (https://www.notion.so/Subscriptions-2474bf6b83b38066a512d2e2e51b6ba0?pvs=21),"September 19, 2025 12:42 PM","February 19, 2026 12:41 (GMT+1)",,,,"September 19, 2025 12:42 PM",,-€78.00,🗓️ Scheduled,Every 1 Month
Notion AI test,Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€3.10,Include In Analytics,Subscriptions (https://www.notion.so/Subscriptions-2474bf6b83b38066a512d2e2e51b6ba0?pvs=21),"September 19, 2025 3:44 PM","September 19, 2025",,,€3.10,"September 19, 2025 3:45 PM",-€3.10,,✓ Logged,Single
MD - Food,Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€3.45,Include In Analytics,Eating Out (https://www.notion.so/Eating-Out-2474bf6b83b38019a879f5b5140cd70b?pvs=21),"September 20, 2025 6:41 AM","September 19, 2025",,,€3.45,"September 20, 2025 6:42 AM",-€3.45,,✓ Logged,Single
MD - Food,Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€1.75,Include In Analytics,Eating Out (https://www.notion.so/Eating-Out-2474bf6b83b38019a879f5b5140cd70b?pvs=21),"September 21, 2025 1:19 PM","September 20, 2025",,,€1.75,"September 21, 2025 1:20 PM",-€1.75,,✓ Logged,Single
Courses,Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€7.88,Include In Analytics,Groceries (https://www.notion.so/Groceries-2474bf6b83b3807c9b16e2cad882aa66?pvs=21),"September 21, 2025 1:20 PM","September 20, 2025",,,€7.88,"September 21, 2025 1:21 PM",-€7.88,,✓ Logged,Single
Groceries at Carrefour,Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€5.00,Include In Analytics,Groceries (https://www.notion.so/Groceries-2474bf6b83b3807c9b16e2cad882aa66?pvs=21),"September 22, 2025 7:13 PM","September 22, 2025",,,€5.00,"September 22, 2025 9:00 PM",-€5.00,,✓ Logged,Single
Sandwich,Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€9.00,Include In Analytics,Eating Out (https://www.notion.so/Eating-Out-2474bf6b83b38019a879f5b5140cd70b?pvs=21),"September 22, 2025 8:56 PM","September 22, 2025",,,€9.00,"September 22, 2025 8:59 PM",-€9.00,,✓ Logged,Single
Sandwich,Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€1.90,Include In Analytics,Eating Out (https://www.notion.so/Eating-Out-2474bf6b83b38019a879f5b5140cd70b?pvs=21),"September 22, 2025 8:56 PM","September 22, 2025 0:00 (GMT+2)",,,€1.90,"September 23, 2025 5:18 AM",-€1.90,,✓ Logged,Single
beer,Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€2.20,Include In Analytics,Eating Out (https://www.notion.so/Eating-Out-2474bf6b83b38019a879f5b5140cd70b?pvs=21),"September 23, 2025 7:18 PM","September 23, 2025",,,€2.20,"September 25, 2025 8:05 PM",-€2.20,,✓ Logged,Single
fast food sandwich,Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€9.20,Include In Analytics,Eating Out (https://www.notion.so/Eating-Out-2474bf6b83b38019a879f5b5140cd70b?pvs=21),"September 23, 2025 7:18 PM","September 23, 2025",,,€9.20,"September 25, 2025 8:05 PM",-€9.20,,✓ Logged,Single
cappuccino,,-€2.00,Include In Analytics,,"September 24, 2025 1:55 PM","May 15, 2024",,,,"September 24, 2025 1:55 PM",,,○ Incomplete,Single
Netflix,Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€13.00,Include In Analytics,Subscriptions (https://www.notion.so/Subscriptions-2474bf6b83b38066a512d2e2e51b6ba0?pvs=21),"September 24, 2025 4:35 PM","August 31, 2025",,,€13.00,"September 24, 2025 4:36 PM",-€13.00,,✓ Logged,Single
PICO & CO,Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€2.00,Include In Analytics,Eating Out (https://www.notion.so/Eating-Out-2474bf6b83b38019a879f5b5140cd70b?pvs=21),"September 24, 2025 5:52 PM","September 24, 2025",,,€2.00,"September 25, 2025 8:05 PM",-€2.00,,✓ Logged,Single
PICO & CO,Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€2.00,Include In Analytics,Eating Out (https://www.notion.so/Eating-Out-2474bf6b83b38019a879f5b5140cd70b?pvs=21),"September 24, 2025 5:52 PM","September 24, 2025",,,€2.00,"September 25, 2025 8:05 PM",-€2.00,,✓ Logged,Single
Restaurant Chez Theo,Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€2.00,Include In Analytics,Eating Out (https://www.notion.so/Eating-Out-2474bf6b83b38019a879f5b5140cd70b?pvs=21),"September 24, 2025 5:52 PM","September 24, 2025",,,€2.00,"September 25, 2025 8:05 PM",-€2.00,,✓ Logged,Single
Colruyt,Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€37.31,Include In Analytics,Groceries (https://www.notion.so/Groceries-2474bf6b83b3807c9b16e2cad882aa66?pvs=21),"September 24, 2025 8:05 PM","September 24, 2025",,,€37.31,"September 25, 2025 8:05 PM",-€37.31,,✓ Logged,Single
sandwich,Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€2.00,Include In Analytics,Eating Out (https://www.notion.so/Eating-Out-2474bf6b83b38019a879f5b5140cd70b?pvs=21),"September 24, 2025 9:56 PM","September 24, 2025",,,€2.00,"September 25, 2025 8:05 PM",-€2.00,,✓ Logged,Single
mom’s birthday,Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€10.00,Include In Analytics,Social (https://www.notion.so/Social-2474bf6b83b380be967dca19cd5d3aa7?pvs=21),"September 24, 2025 11:06 PM","September 24, 2025",,,€10.00,"September 25, 2025 8:05 PM",-€10.00,,✓ Logged,Single
Mom's Birthday,Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€20.00,Include In Analytics,Social (https://www.notion.so/Social-2474bf6b83b380be967dca19cd5d3aa7?pvs=21),"September 25, 2025 10:09 AM","September 25, 2025",,,€20.00,"September 25, 2025 8:05 PM",-€20.00,,✓ Logged,Single
Rent,Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€475.00,Include In Analytics,Rent (https://www.notion.so/Rent-2474bf6b83b380e28bd1dcab2ecd335b?pvs=21),"September 25, 2025 7:26 PM","October 1, 2025",,,,"September 25, 2025 8:05 PM",,-€475.00,🗓️ Scheduled,Single
